customer_id,region,income,age
0,30,1025,24
1,41,1649,26
2,18,2034,33
3,20,1859,35
4,1,1243,26
5,49,4521,34
6,36,2587,28
7,13,771,31
8,39,2891,31
9,0,1356,24
10,12,5222,26
11,12,2176,28
12,38,780,26
13,30,1405,30
14,2,2122,27
15,42,660,27
16,8,761,28
17,15,2291,28
18,48,2468,23
19,35,2320,29
20,13,2050,26
21,19,1995,27
22,20,2261,29
23,39,1233,23
24,3,784,29
25,35,2082,28
26,2,990,33
27,33,3222,29
28,12,805,28
29,48,2121,29
30,13,667,34
31,48,5171,29
32,41,1956,26
33,33,1477,36
34,10,4224,30
35,7,1630,27
36,16,608,29
37,43,2461,26
38,28,6428,25
39,19,2135,27
40,13,2594,32
41,22,1917,27
42,11,975,28
43,42,671,31
44,10,1257,25
45,46,668,31
46,10,2166,24
47,44,5534,26
48,40,2644,30
49,43,1030,27
50,36,522,24
51,11,834,23
52,2,3966,33
53,30,3410,26
54,15,875,28
55,31,2726,27
56,17,518,29
57,16,5585,24
58,10,1866,29
59,4,1766,26
60,37,1294,29
61,15,4059,30
62,37,2134,25
63,13,2126,29
64,34,7256,27
65,29,2379,30
66,15,1784,33
67,31,3508,27
68,49,829,31
69,4,3077,29
70,47,3904,28
71,47,6944,24
72,34,1245,30
73,11,1287,23
74,38,5600,28
75,21,5069,25
76,5,717,29
77,24,2161,30
78,17,7440,27
79,11,3826,26
80,29,888,30
81,35,3920,25
82,28,788,31
83,33,2233,29
84,45,1094,28
85,23,1930,31
86,1,3573,33
87,45,1924,24
88,9,4611,23
89,30,2186,27
90,42,2805,23
91,39,2222,28
92,34,995,27
93,11,741,31
94,13,529,29
95,38,1908,26
96,8,3547,27
97,9,572,25
98,10,3633,30
99,39,2581,26
100,17,1479,20
101,0,4948,25
102,2,1333,26
103,26,3734,29
104,46,2289,27
105,42,816,29
106,1,1876,33
107,14,3193,27
108,9,5295,27
109,1,2513,30
110,32,2445,32
111,8,774,22
112,37,8504,25
113,17,6849,24
114,17,6099,28
115,9,1256,26
116,12,647,28
117,39,1779,28
118,35,1924,29
119,14,580,29
120,25,1144,24
121,41,2555,24
122,21,1791,28
123,21,2855,24
124,0,4179,28
125,21,3402,24
126,14,3451,27
127,8,1868,25
128,3,4024,26
129,12,1695,25
130,49,2105,25
131,49,3800,27
132,12,3258,27
133,10,795,27
134,38,1206,28
135,44,2723,28
136,27,2091,29
137,20,1062,27
138,24,4937,30
139,14,1439,36
140,34,744,32
141,8,752,27
142,34,1861,29
143,3,2114,25
144,15,518,29
145,20,1840,26
146,0,1650,30
147,48,2052,27
148,8,937,30
149,30,611,33
150,18,1322,31
151,19,582,25
152,45,512,31
153,45,810,32
154,30,873,29
155,20,1605,25
156,37,2446,24
157,0,1527,30
158,8,1046,32
159,22,4944,28
160,28,2532,26
161,23,3289,31
162,49,4798,24
163,29,2001,27
164,40,1100,28
165,24,1168,37
166,15,1429,29
167,13,2002,34
168,20,2181,24
169,35,4646,31
170,17,4737,25
171,19,1972,29
172,24,1226,23
173,33,1976,29
174,42,6919,25
175,39,1450,30
176,15,2064,24
177,43,8263,31
178,4,3227,25
179,11,588,22
180,5,883,26
181,31,4596,28
182,9,870,25
183,16,3474,27
184,26,549,29
185,20,3634,23
186,12,5931,26
187,0,3933,26
188,25,2851,32
189,44,9099,25
190,41,2613,24
191,8,2804,34
192,44,2027,30
193,20,2431,27
194,31,4305,32
195,34,12405,26
196,15,945,25
197,29,1185,28
198,31,3098,28
199,35,1233,28
200,39,743,29
201,29,3322,27
202,1,1395,30
203,13,1245,27
204,19,685,25
205,41,2216,29
206,34,2688,28
207,5,1064,27
208,44,544,29
209,26,1089,25
210,19,2525,24
211,16,1654,35
212,36,2569,30
213,23,4412,33
214,33,851,29
215,46,2351,27
216,29,1639,30
217,31,1234,27
218,18,1431,32
219,20,7498,29
220,30,3278,26
221,20,1796,28
222,45,3964,26
223,45,801,29
224,35,3706,30
225,5,7559,36
226,6,1248,29
227,26,3592,26
228,38,748,25
229,3,3168,21
230,14,1651,28
231,45,1514,27
232,46,1427,29
233,22,599,28
234,1,5231,23
235,42,899,26
236,32,2486,29
237,40,1434,30
238,21,629,32
239,11,624,24
240,37,1361,32
241,41,3788,32
242,10,2041,27
243,18,4033,33
244,36,3272,26
245,24,1971,27
246,28,2928,23
247,5,3888,33
248,0,528,28
249,12,1126,25
250,21,4626,26
251,46,3373,26
252,25,876,29
253,10,1242,27
254,20,665,26
255,5,730,28
256,45,1583,29
257,25,959,28
258,21,798,24
259,39,725,27
260,31,2882,29
261,16,811,23
262,38,2002,27
263,44,3300,23
264,29,6222,28
265,30,3737,32
266,15,3044,28
267,48,1863,31
268,32,2813,26
269,40,851,28
270,24,4367,25
271,27,1736,32
272,3,2183,31
273,14,3055,26
274,0,1091,23
275,30,1514,25
276,46,798,26
277,49,1489,36
278,38,662,26
279,1,790,28
280,4,2226,32
281,40,2121,28
282,16,6243,25
283,34,1674,27
284,30,1861,29
285,45,558,31
286,3,514,24
287,45,2812,34
