payments,email,opened,agreement,credit_limit,risk_score
740,1,1.0,0.0,2348.495260307892,0.6667520189968017
580,1,1.0,1.0,334.111968618039,0.2073951034759864
600,1,1.0,1.0,1360.6607223170065,0.5504788976912453
770,0,0.0,0.0,1531.8285760427154,0.5604882433026734
660,0,0.0,0.0,979.855646634038,0.45514026896680354
710,1,0.0,0.0,1586.4666228044684,0.5818667740891383
790,1,0.0,0.0,1590.8654875330924,0.5768574675092776
690,0,0.0,0.0,665.8054953981398,0.3739096972150459
820,0,0.0,0.0,1336.0035007458728,0.5153438229550952
590,0,0.0,0.0,1131.9799617324866,0.48023463287168733
670,0,0.0,0.0,1281.6097410922325,0.5120049287835999
540,0,0.0,0.0,453.4378666388232,0.2669360814024042
620,1,1.0,0.0,1598.4494517697892,0.5885644767619521
720,1,1.0,0.0,1098.4783898632995,0.46835323745783175
890,1,1.0,1.0,1278.4966175269374,0.5047963118412193
660,0,0.0,0.0,1426.3838694551216,0.5337520962735058
620,1,0.0,0.0,781.4472547243266,0.39932026884322763
680,1,1.0,0.0,861.8955662177815,0.41803913404125953
630,1,0.0,0.0,1117.007849951913,0.5091936614974134
540,1,1.0,0.0,725.1813359248592,0.38225017366132846
820,1,1.0,1.0,1796.0698519049338,0.5927097666044766
610,0,0.0,0.0,1362.6243383532453,0.5338747504697658
740,1,1.0,1.0,1741.409929725454,0.5920340033901131
700,1,1.0,1.0,409.82992581224664,0.24804158001203624
630,1,0.0,0.0,981.366852844355,0.4520864066554335
660,1,1.0,0.0,946.0440302521255,0.4369722824384855
620,1,1.0,1.0,536.2454689972178,0.318920863226992
740,1,1.0,1.0,1452.0845108400727,0.5521861387341163
690,1,1.0,1.0,559.5690533479267,0.30321605809355673
700,0,0.0,0.0,805.5667253190917,0.4015840969936509
560,0,0.0,0.0,666.383062680679,0.3528218643846255
530,1,0.0,0.0,1130.435897011553,0.4818824654141411
630,1,1.0,0.0,1422.5047757140437,0.5547098179282037
830,1,0.0,0.0,1839.4205824825146,0.6036943130374763
800,1,1.0,0.0,1082.9983000746313,0.47384520515783657
600,0,0.0,0.0,901.4807567862008,0.4306030556424745
700,1,1.0,1.0,1253.3402018870663,0.4948934979324697
650,1,0.0,0.0,1186.4773354527633,0.4900335749469578
580,1,1.0,1.0,813.150324193299,0.40118298904503374
820,0,0.0,0.0,2303.1368878374396,0.6625291638914266
800,0,0.0,0.0,1869.1215306940642,0.6015454454074842
510,1,1.0,1.0,742.2132878726852,0.39856534091506585
800,0,0.0,0.0,1948.8826352294204,0.6098160406753416
800,0,0.0,0.0,1903.6567578727422,0.6003964820432744
510,0,0.0,0.0,884.7415057320461,0.43164126416234183
880,1,0.0,0.0,1934.3759230154542,0.6297069264449207
690,1,1.0,0.0,1207.4720609840642,0.5061585878188434
500,0,0.0,0.0,693.3197609535493,0.37593748513505504
560,1,0.0,0.0,942.9850299043826,0.448678865306211
660,1,1.0,1.0,388.3930108721457,0.255040734172105
560,1,1.0,1.0,860.423621868685,0.4136967515845204
570,0,0.0,0.0,868.8998931105718,0.42738431161737445
510,1,0.0,0.0,860.9539036858014,0.4366293360785063
1030,1,1.0,1.0,3132.7677104671698,0.7187444040070244
500,1,0.0,0.0,799.6216851330556,0.39465568053860545
610,0,0.0,0.0,832.8941475326715,0.41118725094786457
760,1,1.0,1.0,2009.8600461838253,0.6165091271751414
600,1,1.0,1.0,1133.95169228906,0.48707338213497664
570,1,1.0,1.0,997.1792166990452,0.4485874801297229
370,0,0.0,0.0,572.7479491180953,0.3316471840157972
700,1,0.0,0.0,1345.33980490912,0.528243495510871
540,1,0.0,0.0,593.4196970207219,0.3195830629289168
800,0,0.0,0.0,1308.510978080129,0.5387411086509322
530,0,0.0,0.0,1183.5451179565157,0.49383312867018325
600,1,0.0,0.0,723.8664761422223,0.3798793118282225
720,0,0.0,0.0,1481.3842329441054,0.5591783953554733
710,0,0.0,0.0,1916.4844413280314,0.6090113462192344
820,0,0.0,0.0,1547.9559289683386,0.5660558932807838
770,1,1.0,1.0,1714.3753657676195,0.5819423620177601
910,1,1.0,1.0,1770.882971716378,0.6097966683016888
740,0,0.0,0.0,1449.769438557665,0.553236492283512
660,1,0.0,0.0,634.5634454996175,0.34637868719856785
730,1,1.0,0.0,2036.6312503091044,0.6237850761363816
590,0,0.0,0.0,373.35089423272444,0.2289608470337884
560,1,1.0,0.0,465.5566763559195,0.2822042121888819
600,1,0.0,0.0,1073.9449163205313,0.45549148164943476
660,1,1.0,1.0,1009.2704762808095,0.4580439387314211
640,0,0.0,0.0,1200.6189869550915,0.5119597213099457
780,1,0.0,0.0,987.2799916977995,0.44555280975373784
880,1,1.0,0.0,2107.9591417540387,0.645970709380722
660,0,0.0,0.0,772.0504143975057,0.3678512097866537
720,0,0.0,0.0,1390.319517016355,0.545510172669338
