state,year,cigsale,lnincome,beer,age15to24,retprice,california,after_treatment
1,1970,89.8000030517578,,,0.17886178195476501,39.5999984741211,False,False
1,1971,95.4000015258789,,,0.179927840828896,42.7000007629395,False,False
1,1972,101.099998474121,9.498476028442381,,0.180993899703026,42.2999992370605,False,False
1,1973,102.900001525879,9.5501070022583,,0.18205994367599496,42.0999984741211,False,False
1,1974,108.199996948242,9.53716278076172,,0.183126002550125,43.0999984741211,False,False
1,1975,111.699996948242,9.54003143310547,,0.184192061424255,46.5999984741211,False,False
1,1976,116.199996948242,9.5919075012207,,0.18525812029838604,50.4000015258789,False,False
1,1977,117.099998474121,9.6174955368042,,0.186324179172516,50.0999984741211,False,False
1,1978,123.0,9.65407180786133,,0.187390223145485,55.0999984741211,False,False
1,1979,121.400001525879,9.64918041229248,,0.18845628201961492,56.7999992370605,False,False
1,1980,123.199996948242,9.6121940612793,,0.189522340893745,60.5999984741211,False,False
1,1981,119.599998474121,9.60959434509277,,0.185842230916023,68.8000030517578,False,False
1,1982,119.099998474121,9.59757995605469,,0.182162120938301,73.0999984741211,False,False
1,1983,116.300003051758,9.62676906585693,,0.178482010960579,84.4000015258789,False,False
1,1984,113.0,9.67162132263184,18.0,0.174801900982857,90.8000030517578,False,False
1,1985,114.5,9.703192710876461,18.7000007629395,0.171121791005135,99.0,False,False
1,1986,116.300003051758,9.74594974517822,19.2999992370605,0.167441681027412,103.0,False,False
1,1987,114.0,9.762091636657713,19.3999996185303,0.16376157104969,110.0,False,False
1,1988,112.099998474121,9.78176975250244,19.3999996185303,0.16008146107196802,114.400001525879,False,False
1,1989,105.599998474121,9.80252742767334,19.3999996185303,0.156401351094246,122.300003051758,False,True
1,1990,108.599998474121,9.814290046691893,20.1000003814697,0.15272124111652402,139.100006103516,False,True
1,1991,107.900001525879,9.81925964355469,20.1000003814697,,144.399993896484,False,True
1,1992,109.099998474121,9.84528636932373,20.3999996185303,,172.199996948242,False,True
1,1993,108.5,9.85216045379639,20.2999992370605,,176.199996948242,False,True
1,1994,107.099998474121,9.87933444976807,21.0,,154.600006103516,False,True
1,1995,102.599998474121,9.92440414428711,20.6000003814697,,155.100006103516,False,True
1,1996,101.400001525879,9.94002723693848,21.0,,158.300003051758,False,True
1,1997,104.900001525879,9.93727016448975,20.7999992370605,,167.399993896484,False,True
1,1998,106.199996948242,,,,180.5,False,True
1,1999,100.699996948242,,,,195.600006103516,False,True
1,2000,96.1999969482422,,,,270.70001220703097,False,True
2,1970,100.300003051758,,,0.169006764888763,36.7000007629395,False,False
2,1971,104.099998474121,,,0.169953852891922,38.7999992370605,False,False
2,1972,103.900001525879,9.46451377868652,,0.170900955796242,44.0999984741211,False,False
2,1973,108.0,9.556830406188961,,0.1718480437994,45.0999984741211,False,False
2,1974,109.699996948242,9.54228591918945,,0.17279513180255898,45.5,False,False
2,1975,114.800003051758,9.51409435272217,,0.173742234706879,48.5999984741211,False,False
2,1976,119.099998474121,9.55815315246582,,0.17468932271003698,50.9000015258789,False,False
2,1977,122.599998474121,9.59092330932617,,0.175636410713196,52.5999984741211,False,False
2,1978,127.300003051758,9.6572380065918,,0.17658349871635395,56.5,False,False
2,1979,126.5,9.6335334777832,,0.177530601620674,58.4000015258789,False,False
2,1980,131.800003051758,9.57380294799805,,0.178477689623833,61.5,False,False
2,1981,128.699996948242,9.59304141998291,,0.175011113286018,64.6999969482422,False,False
2,1982,127.400001525879,9.57369995117188,,0.171544536948204,72.0999984741211,False,False
2,1983,128.0,9.59305286407471,,0.168077945709229,82.0,False,False
2,1984,123.099998474121,9.65044021606445,17.8999996185303,0.164611369371414,93.5999984741211,False,False
2,1985,125.800003051758,9.67552661895752,18.1000003814697,0.1611447930336,98.5,False,False
2,1986,126.0,9.705939292907713,18.7000007629395,0.157678216695786,103.599998474121,False,False
2,1987,122.300003051758,9.70557403564453,19.0,0.154211640357971,113.0,False,False
2,1988,121.5,9.72153186798096,18.8999996185303,0.150745049118996,119.900001525879,False,False
2,1989,118.300003051758,9.73737049102783,19.0,0.147278472781181,127.699996948242,False,True
2,1990,113.099998474121,9.736310958862301,19.8999996185303,0.143811896443367,141.199996948242,False,True
2,1991,116.800003051758,9.74306774139404,19.8999996185303,,146.5,False,True
2,1992,126.0,9.788628578186039,20.0,,177.300003051758,False,True
2,1993,113.800003051758,9.78514194488525,19.7000007629395,,179.899993896484,False,True
2,1994,108.800003051758,9.81363105773926,19.7000007629395,,168.100006103516,False,True
2,1995,113.0,9.86445999145508,19.5,,167.300003051758,False,True
2,1996,110.699996948242,9.885233879089359,20.1000003814697,,167.100006103516,False,True
2,1997,108.699996948242,9.88310718536377,19.7999992370605,,181.300003051758,False,True
2,1998,109.5,,,,187.300003051758,False,True
2,1999,104.800003051758,,,,206.899993896484,False,True
2,2000,99.4000015258789,,,,279.29998779296903,False,True
3,1970,123.0,,,0.17815832793712602,38.7999992370605,True,False
3,1971,121.0,,,0.179296359419823,39.7000007629395,True,False
3,1972,123.5,9.93081378936768,,0.18043439090251892,39.9000015258789,True,False
3,1973,124.400001525879,9.95509243011475,,0.18157240748405493,39.9000015258789,True,False
3,1974,126.699996948242,9.94799900054932,,0.18271043896675104,41.9000015258789,True,False
3,1975,127.099998474121,9.93716716766357,,0.183848470449448,45.0,True,False
3,1976,128.0,9.97685813903809,,0.18498650193214397,48.2999992370605,True,False
3,1977,126.400001525879,10.0026998519897,,0.186124533414841,49.0,True,False
3,1978,126.099998474121,10.0455646514893,,0.187262549996376,58.7000007629395,True,False
3,1979,121.900001525879,10.0546875,,0.188400581479073,60.0999984741211,True,False
3,1980,120.199996948242,10.0378408432007,,0.189538612961769,62.0999984741211,True,False
3,1981,118.599998474121,10.0286264419556,,0.185537055134773,66.40000152587889,True,False
3,1982,115.400001525879,10.0125303268433,,0.181535497307777,72.8000030517578,True,False
3,1983,110.800003051758,10.0317373275757,,0.17753393948078194,84.9000015258789,True,False
3,1984,104.800003051758,10.0753593444824,25.0,0.173532381653786,94.9000015258789,True,False
3,1985,102.800003051758,10.099702835082999,24.0,0.16953082382679,98.0,True,False
3,1986,99.6999969482422,10.1272668838501,24.7000007629395,0.165529265999794,104.400001525879,True,False
3,1987,97.5,10.134301185607901,24.100000381469695,0.16152770817279802,103.900001525879,True,False
3,1988,90.0999984741211,10.141662597656195,23.600000381469695,0.157526150345802,117.400001525879,True,False
3,1989,82.4000015258789,10.14231300354,23.7000007629395,0.15352459251880599,126.400001525879,True,True
3,1990,77.8000030517578,10.141622543335,23.7999992370605,0.149523034691811,163.800003051758,True,True
3,1991,68.6999969482422,10.1107139587402,22.2999992370605,,186.800003051758,True,True
